respondent_id,cluster
3290515688,1
3290600057,1
3290598307,1
3290582716,1
3290572568,1
3290569001,1
3290565768,1
3290917131,1
3290912014,1
3290906022,1
3290903423,1
3290544865,1
3290700285,1
3290700214,1
3290691758,1
3290687830,1
3290684287,1
3290678952,1
3290676695,1
3290667297,1
3290841815,1
3290879019,1
3290860908,1
3290860842,1
3290600559,1
3290655784,1
3290640323,1
3290638529,1
3290753390,1
3290746853,1
3290739967,1
3290739235,1
3290733932,1
3290733316,1
3290727763,1
3290714484,1
3290711487,1
3290711262,1
3290853559,1
3290848617,1
3290846466,1
3290706716,1
3290706611,1
3290703210,1
3288558131,1
3288501301,1
3288536532,1
3288534023,1
3288524042,1
3288519037,1
3288516295,1
3288514217,1
3288512822,1
3288502884,1
3292330840,1
3292281095,1
3292264069,1
3288493077,1
3288492006,1
3288482369,1
3288401136,1
3288401681,1
3288402511,1
3292366792,1
3292465491,1
3292483200,1
3292521066,1
3292572872,1
3292580516,1
3292879998,1
3288429092,2
3288378779,2
3288389603,2
3288402643,2
3288408698,2
3292583038,2
3292376985,2
3292380493,2
3292420123,2
3290116182,2
3290125784,2
3290125801,2
3291002672,2
3290046627,2
3290047483,2
3290047842,2
3288429451,2
3292339379,2
3288445926,2
3288410348,2
3288476971,2
3290819415,2
3290829888,2
3290779524,2
3290785928,2
3290798064,2
3290804008,2
3292511801,2
3292522349,2
3292562297,2
3292565282,2
3288423045,2
3292120160,2
3292131636,2
3292143503,2
3290687981,2
3290732383,2
3290734874,2
3290736072,2
3290741994,2
3288512665,2
3288521325,2
3288522488,2
3288522525,2
3288538248,2
3292221635,2
3292222729,2
3292249492,2
3290854802,2
3290855818,2
3290858543,2
3290708664,2
3290711882,2
3290712204,2
3292144665,2
3292156614,2
3292162057,2
3292167131,2
3292187343,2
3288574703,2
3288578072,2
3288552984,2
3288553903,2
3288567154,2
3291588139,2
3288650455,2
3290630470,2
3290689343,2
3290699410,2
3290662118,2
3290845752,2
3288568534,2
3288623033,2
3288635451,2
3288587373,2
3291696391,2
3291701619,2
3288585053,2
3288599067,2
3290846848,2
3288672490,2
3290873342,2
3290878766,2
3290884427,2
3290888079,2
3290888102,2
3290664463,2
3290678515,2
3291762799,2
3291871486,2
3291940517,2
3291945498,2
3291992352,2
3292008762,2
3292031637,2
3292033243,2
3290659314,2
3290659818,2
3290661135,2
3290661650,2
3290863193,2
3288683105,2
3288685641,2
3288690295,2
3288698085,2
3288702291,2
3288704807,2
3288712832,2
3288713570,2
3288657866,2
3288617091,2
3288671328,2
3289064086,2
3289069642,2
3290572073,2
3290593953,2
3290597099,2
3290601892,2
3290611875,2
3290627681,2
3290627850,2
3288714827,2
3288772244,2
3288777560,2
3288793006,2
3291618031,2
3290650590,2
3290654597,2
3290910069,2
3290915885,2
3290860558,2
3290561583,2
3290565779,2
3290568339,2
3289317542,2
3289354975,2
3289358306,2
3289363684,2
3289369318,2
3289370623,2
3289177383,2
3291650311,2
3288846487,2
3288941294,2
3289450247,2
3289458608,2
3290524413,2
3290531735,2
3290551809,2
3290552963,2
3291497337,2
3291502449,2
3291529925,2
3291548852,2
3289392497,2
3289393495,2
3289410507,2
3289414959,2
3290901027,2
3290902880,2
3290506830,2
3290511533,2
3290417966,2
3290519884,2
3291424127,2
3291425110,2
3291428174,2
3291433636,2
3291437345,2
3291364062,2
3289484757,2
3289492075,2
3289423303,2
3289425578,2
3289434297,2
3289450050,2
3289625071,2
3289552996,2
3291388180,2
3289537293,2
3289543778,2
3289553473,2
3289572808,2
3289582868,2
3290401956,2
3290421738,2
3290439063,2
3289498064,2
3289498263,2
3289436437,2
3289530042,2
3290471553,2
3289664241,2
3289597035,2
3289688885,2
3289693023,2
3289695941,2
3289706727,2
3290929229,2
